写景,山水,黄河,励志,哲理 白日依山尽，黄河入海流。欲穷千里目，更上一层楼。
闺怨 花落，烟薄，谢家池阁，寂寞春深。翠蛾轻敛意沉吟，沾襟，无人知此心。玉炉香断霜灰冷，帘铺影，梁燕归红杏。晚来天，空悄然，孤眠，枕檀云髻偏。
写景,抒情 草芊芊，波漾漾。湖边草色连波涨。沿蓼岸，泊枫汀，天际玉轮初上。扣舷歌，联极望。桨声伊轧知何向？黄鹄叫，白鸥眠，谁似侬家疏旷？
婉约 茅舍槿篱溪曲，鸡犬自南自北。菰叶长，水葓开，门外春波涨绿。听织，声促，轧轧鸣梭穿屋。
婉约,边塞 空碛无边，万里阳关道路。马萧萧，人去去，陇云愁。香貂旧制戎衣窄，胡霜千里白。绮罗心，魂梦隔，上高楼。
闺怨,写景 风递残香出绣帘，团窠金凤舞襜襜，落花微雨恨相兼。何处去来狂太甚，空推宿酒睡无厌，怎教人不别猜嫌？
写景,爱情 月华如水笼香砌，金环碎撼门初闭。寒影堕高檐，钩垂一面帘。碧烟轻袅袅，红战灯花笑。即此是高唐，掩屏秋梦长。
写景 景阳钟动宫莺转，露凉金殿。轻飙吹起琼花绽，玉叶如剪。晚来高阁上，珠帘卷，见坠香千片。修蛾慢脸陪雕辇，后庭新宴。
写花,婉约 木棉花映丛祠小，越禽声里春光晓。铜鼓与蛮歌，南人祈赛多。客帆风正急，茜袖偎墙立。极浦几回头，烟波无限愁。
思念 好风微揭帘旌起，金翼鸾相倚。翠檐愁听乳禽声，此时春态暗关情，独难平。画堂流水空相翳，一穗香摇曳。教人无处寄相思，落花芳草过前期，没人知。
抒情 留不得，留得也应无益。白纻春衫如雪色，扬州初去日。轻别离，甘抛掷，江上满帆风疾。却羡彩鸳三十六，孤鸾还一只。
爱情,抒情 半踏长裾宛约行，晚帘疏处见分明，此时堪恨昧平生。早是销魂残烛影，更愁闻着品弦声，杳无消息若为情。
爱国 弓背霞明剑照霜，秋风走马出咸阳。未收天子河湟地，不拟回头望故乡。
写山 山，耸峻，回环。沧海上，白云间。商老深寻，谢公远攀。古岩泉滴滴，幽谷鸟关关。树岛西连陇塞，猿声南彻荆蛮。世人只向簪裾老，芳草空余麋鹿闲。
送别,友情 阳关万里道，不见一人归。惟有河边雁，秋来南向飞。
战争 南北驱驰报主情，江花边草笑平生。一年三百六十日，多是横戈马上行。
爱国 小筑暂高枕，忧时旧有盟。呼樽来揖客，挥麈坐谈兵。云护牙签满，星含宝剑横。封侯非我意，但愿海波平。
爱国 望门投止思张俭，忍死须臾待杜根。我自横刀向天笑，去留肝胆两昆仑。望门投趾怜张俭，直谏陈书愧杜根。手掷欧刀仰天笑，留将公罪后人论。
写景 终古高云簇此城，秋风吹散马蹄声。河流大野犹嫌束，山入潼关不解平。
抒情 劝君金屈卮，满酌不须辞。花发多风雨，人生足别离。
儿童 蓬头稚子学垂纶，侧坐莓苔草映身。路人借问遥招手，怕得鱼惊不应人。
春天,写景 山光物态弄春晖，莫为轻阴便拟归。纵使晴明无雨色，入云深处亦沾衣。
友情 山光物态弄春晖，莫为轻阴便拟归。纵使晴明无雨色，入云深处亦沾衣。
写景,抒情 欲收嘉景此楼中，徙倚阑干四望通。云乱水光浮紫翠，天含山气入青红。一川钟呗淮南月，万里帆樯海餐风。老去衣衿尘土在，只将心目羡冥鸿。
春天,咏物,柳树 乱条犹未变初黄，倚得东风势便狂。解把飞花蒙日月，不知天地有清霜。
抒情 海浪如云去却回，北风吹起数声雷。朱楼四面钩疏箔，卧看千山急雨来。
写景 目穷淮海满如银，万道虹光育蚌珍。天上若无修月户，桂枝撑损向西轮。
月亮,写景,豪放 千古涟漪清绝地。海岱楼高，下瞰秦淮尾。水浸碧天天似水。广寒宫阙人间世。霭霭春和一海市。鏊戴三山，顷刻随轮至。宝月圆时多异气。夜光一颗千金贵。
咏物,写景 云间铁瓮近青天，缥缈飞楼百尺连。三峡江声流笔底，六朝帆影落樽前。几番画角催红日，无事沧州起白烟。忽忆赏心何处是？春风秋月两茫然。
咏物 亭亭山上松，瑟瑟谷中风。风声一何盛，松枝一何劲。冰霜正惨凄，终岁常端正。岂不罹凝寒，松柏有本性。
咏物 泛泛东流水，磷磷水中石。蘋藻生其涯，华叶纷扰溺。采之荐宗庙，可以羞嘉客。岂无园中葵？懿此出深泽。
咏物 凤皇集南岳，徘徊孤竹根。于心有不厌，奋翅凌紫氛。岂不常勤苦？羞与黄雀群。何时当来仪？将须圣明君。
哲理 蓬门未识绮罗香，拟托良媒益自伤。谁爱风流高格调，共怜时世俭梳妆。敢将十指夸针巧，不把双眉斗画长。苦恨年年压金线，为他人作嫁衣裳。
秋天,写景,抒情 古树噪寒鸦，满庭枫叶芦花。昼灯当午隔轻纱，画阁珠帘影斜。门外往来祈赛客，翩翩帆落天涯。回首隔江烟火，渡头三两人家。
写景,抒情 烟收湘渚秋江静，蕉花露位愁红。五云双鹤去无踪。几回魂断，凝望向长空。翠竹暗留珠泪怨，闲调宝瑟波中。花鬟月鬓绿云重。古祠深殿，香冷雨和风。
婉约,写花 花满院。飞去飞来双燕。红雨入帘寒不卷。晓屏山六扇。翠袖玉笙凄断。脉脉两蛾愁浅。消息不知郎近远。一春长梦见。
婉约,写景 西风乱叶溪桥树。秋在黄花羞涩处。满袖尘埃推不去。马蹄浓露，鸡声淡月，寂历荒村路。身名多被儒冠误。十载重来漫如许。且尽清樽公莫舞。六朝旧事，一江流水，万感天涯暮。
爱情,离别 平江波暖鸳鸯语，两两钓船归极浦。芦洲一夜风和雨，飞起浅沙翘雪鹭。渔灯明远渚，兰棹今宵何处？罗袂从风轻举，愁杀采莲女！
写景 雨霁巫山上，云轻映碧天。远风吹散又相连，十二晚峰前。暗湿啼猿树，高笼过客船。朝朝暮暮楚江边，几度降神仙。
写人 玉殿春浓花烂熳，簇神仙伴。罗裙窣地缕黄金，奏清音。酒阑歌罢两沉沉，一笑动君心。永愿作鸳鸯伴，恋情深。
柳树,离别 河桥柳，占芳春，映水含烟拂路。几回攀折赠行人，暗伤神。乐府吹为横笛曲，能使离肠断续。不如移植在金门，近天恩。
柳树 御沟柳，占春多，半出宫墙婀娜。有时倒影蘸轻罗，麴尘波。昨日金銮巡上苑，风亚舞腰纤软。栽培得地近皇宫，瑞烟浓。
柳树 隋堤柳，汴河旁，夹岸绿阴千里。龙舟凤舸木兰香，锦帆张。因梦江南春景好，一路流苏羽葆。笙歌未尽起横流，锁春愁。
柳树 章台柳，近垂旒，低拂往来冠盖。朦胧春色满皇州，瑞烟浮。直与路边江畔别，免被离人攀折。最怜京兆画蛾眉，叶纤时。
写人 宝檀金缕鸳鸯枕，绶带盘官锦。夕阳低映小窗明，南园绿树语莺莺，梦难成。玉炉香暖频添炷，满地飘轻絮。珠帘不卷度沉烟，庭前闲立画秋千，艳阳天。
爱情,离别 帐里鸳鸯交颈情，恨鸡声，天已明。愁见街前，还是说归程。临上马时期后会，待梅绽，月初生。
抒情,思念 海棠香老春江晚，小楼雾縠涳濛。翠鬟初出绣帘中，麝烟鸾佩惹苹风。碾玉钗摇鸂鶒战，雪肌云鬓将融。含情遥指碧波东，越王台殿蓼花红。
读书 诗界千年靡靡风，兵魂销尽国魂空。集中什九从军乐，亘古男儿一放翁。
写雪 关山虽胜路难堪，才上征鞍又解骖。十丈黄尘千尺雪，可知俱不似江南。
写人 霸越亡吴计已行，论功何物赏倾城？西施亦有弓藏惧，不独鸱夷变姓名。
友情 已过才追问，相看是故人。乱离何处见，消息苦难真。拭眼惊魂定，衔杯笑语频。移家就吾住，白首两遗民。
抒情 落日松陵道，堤长欲抱城。塔盘湖势动，桥引月痕生。市静人逃赋，江宽客避兵。廿年交旧散，把酒叹浮名。
婉约,写景,山水,思念 一尺过江山，万点长淮树。石上水潺潺，流入青溪去。六月北风寒，落叶无朝暮。度樾与穿云，林黑行人顾。
写景 风风雨雨梨花，窄索帘栊，巧小窗纱。甚情绪灯前，客怀枕畔，心事天涯。三千丈清愁鬓发，五十年春梦繁华。蓦见人家，杨柳分烟，扶上檐牙。
抒情 莺莺燕燕春春，花花柳柳真真。事事风风韵韵。娇娇嫩嫩，停停当当人人。
闺怨 不系雕鞍门前柳，玉容寂寞见花羞，冷风儿吹雨黄昏后。帘控钩，掩上珠楼，风雨替花愁。
闺怨,思念 玉楼风迕杏花衫，娇怯春寒赚。酒病十朝九朝嵌。瘦岩岩，愁浓难补眉儿淡。香消翠减，雨昏烟暗，芳草遍江南。
抒情 江南倦客登临，多少豪雄，几许消沉。今日何堪，买田阳羡，挂剑长林。霞缕烂谁家昼锦，月钩横故国丹心。窗影灯深，磷火青青，山鬼喑喑。
田园,写景,抒情 枕苍龙云卧品清箫，跨白鹿春酣醉碧桃，唤青猿夜拆烧丹灶。二千年琼树老，飞来海上仙鹤。纱巾岸天风细，玉笙吹山月高，谁识王乔？
抒情 拍阑干。雾花吹鬓海风寒。浩歌惊得浮云散。细数青山，指蓬莱一望间。纱巾岸，鹤背骑来惯。举头长啸，直上天坛。
抒情 百花洲上新台，檐吻云平，图画天开。鹏俯沧溟，蜃横城市，鳌驾蓬莱，学捧心山颦翠色，怅悬头土湿腥苔。悼古兴怀，休近阑干，万丈尘埃。
写人,爱情 绀云分翠拢香丝，玉线界宫鸦翅。露冷蔷薇晓初试。淡匀脂，金篦腻点兰烟纸。含娇意思，殢人须是，亲手画眉儿。
写花,梅花,咏物,抒情 冬前冬后几村庄，溪北溪南两履霜，树头树底孤山上。冷风袭来何处香？忽相逢缟袂绡裳。酒醒寒惊梦，笛凄春断肠，淡月昏黄。
抒情 搅柔肠离恨病相兼，重聚首佳期卦怎占？豫章城开了座相思店。闷勾肆儿逐日添，愁行货顿塌在眉尖。税钱比茶船上欠，斤两去等秤上掂，吃紧的历册般拘钤。
思乡 瘦马驮诗天一涯，倦鸟呼愁村数家。扑头飞柳花，与人添鬓华。
抒情 眼前花怎得接连枝，眉上锁新教配钥匙，描笔儿勾销了伤春事。闷葫芦铰断线儿，锦鸳鸯别对了个雄雌。野蜂儿难寻觅，蝎虎儿干害死，蚕蛹儿毕罢了相思。
秋天,抒情 千山落叶岩岩瘦，百尺危阑寸寸愁。有人独倚晚妆楼。楼外柳，眉暗不禁秋。
写景,抒情 顺毛儿扑撒翠鸾雏，暖水儿温存比目鱼，碎奔忙儿垒就阳台路。望朝云思暮雨，楚巫娥偷取些工夫。殢酒人归未，停歌月上初，今夜何如？
抒情,思念 妒韶华风雨潇潇，管月犯南箕，水漏天瓢。湿金缕莺裳，红膏燕嘴，黄粉蜂腰。梨花梦龙绡泪今春瘦了，海棠魂羯鼓声昨夜惊着。极目江皋，锦涩行云，香暗归潮。
写人,抒情 昼长无事簿书闲，未午衙先散。一郡居民二十万。报平安，秋粮夏税咄嗟儿办。执花纹象简，凭琴堂书案，日日看青山。
婉约,闺怨,写景,荷花,思念 菡萏香销翠叶残，西风愁起绿波间。还与韶光共憔悴，不堪看。细雨梦回鸡塞远，小楼吹彻玉笙寒。多少泪珠何限恨，倚栏干。
婉约,月亮,离别 恨君不似江楼月，南北东西，南北东西，只有相随无别离。恨君却似江楼月，暂满还亏，暂满还亏，待得团圆是几时？
抒情 稍离烟瘴近湘潭，疾病衰颓已不堪。儿女不知来避地，强言风物胜江南。
写景 驿路侵斜月，溪桥度晓霜。短篱残菊一枝黄。正是乱山深处、过重阳。旅枕元无梦，寒更每自长。只言江左好风光。不道中原归思、转凄凉。
抒情,思念 秋夜香闺思寂寥，漏迢迢。鸳帷罗幌麝烟销，烛光摇。正忆玉郎游荡去，无寻处。更闻帘外雨潇潇，滴芭蕉。
春天,抒情 深闺春色劳思想，恨共春芜长。黄鹂娇啭泥芳妍，杏枝如画倚轻烟、琐窗前。凭阑愁立双娥细，柳影斜摇砌。玉郎还是不还家？教人魂梦逐杨花、绕天涯。
写景 月黑见渔灯，孤光一点萤。微微风簇浪，散作满河星。
写景,抒情 黄花古渡接芦溪，行过萍乡路渐低。吠犬鸣鸡村远近，乳鹅新鸭岸东西。丝缫细雨沾衣润，刀剪良苗出水齐。犹与湖南风土近，春深无处不耕犁。
咏史怀古 平远江山极目回，古祠漠漠背城开。莫嫌举世无知己，未有庸人不忌才。放逐肯消亡国恨？岁时犹动楚人哀！湘兰沅芷年年绿，想见吟魂自往来。
写景 庭户无人秋月明，夜霜欲落气先清。梧桐真不甘衰谢，数叶迎风尚有声。
夏天 长夏村墟风日清，檐牙燕雀已生成。蝶衣晒粉花枝舞，蛛网添丝屋角晴。落落疏帘邀月影，嘈嘈虚枕纳溪声。久斑两鬓如霜雪，直欲渔樵过此生。
婉约,写景 帘幕疏疏风透。一线香飘金兽。朱阑倚遍黄昏后。廊上月华如昼。别离滋味浓于酒。著人瘦。此情不及墙东柳。春色年年如旧。
写景,思乡 如丝苣甲饤春盘，韭叶金黄雪未干。旅饭二年无此味，故园千里几时还。异方时节三巵酒，残岁风烟一惨颜。曾奉龙旗典邦礼，岁穷祠祀少休闲。
爱国 竞渡深悲千载冤，忠魂一去讵能还。国亡身殒今何有，只留离骚在世间。
写山,写景,抒情 年来鞍马困尘埃，赖有青山豁我怀。日暮北风吹雨去，数峰清瘦出云来。
咏物,写花 松竹翠萝寒，迟日江山暮。幽径无人独自芳，此恨凭谁诉。似共梅花语。尚有寻芳侣。着意闻时不肯香，香在无心处。
婉约,春天,写景 门外绿阴千顷，两两黄鹂相应。睡起不胜情，行到碧梧金井。人静，人静。风动一庭花影。
婉约 年时酒伴，年时去处，年时春色。清明又近也，却天涯为客。念过眼、光阴难再得。想前欢、尽成陈迹。登临恨无语，把阑干暗拍。
春天,写景 云透斜阳，半楼红影明窗户。暮山无数。归雁愁还去。十里平芜，花远重重树。空凝伫。故人何处。可惜春将暮。
咏物,写花 坠素翻红各自伤，青楼烟雨忍相忘。将飞更作回风舞，已落犹成半面妆。沧海客归珠有泪，章台人去骨遗香。可能无意传双蝶，尽付芳心与蜜房。
婉约 画毂雕鞍狭路逢，一声肠断绣帘中。身无彩凤双飞翼，心有灵犀一点通。金作屋，玉为笼，车如流水马游龙。刘郎已恨蓬山远，更隔蓬山几万重。
婉约,写景 东城渐觉风光好。縠皱波纹迎客棹。绿杨烟外晓寒轻，红杏枝头春意闹。浮生长恨欢娱少。肯爱千金轻一笑。为君持酒劝斜阳，且向花间留晚照。
秋天,抒情 寒鸦飞数点，流水绕孤村。斜阳欲落处，一望黯消魂。
咏物,梅花 桃李莫相妒，夭姿元不同。犹余雪霜态，未肯十分红。
咏物,写花 落木萧萧，琉璃叶下琼葩吐。素香柔树。雅称幽人趣。无意争先，梅蕊休相妒。含春雨。结愁千绪。似忆江南主。
